interval,start_major,end_major,start_tag,start_date_utc,end_tag,end_date_utc,days,months,closed_issues,issues_per_month
1->2,1,2,1.0.0,2020-01-29T05:34:52Z,2.0.0,2021-01-07T21:21:38Z,344.6575,11.3234,324,28.6132
2->3,2,3,2.0.0,2021-01-07T21:21:38Z,3.0.0,2021-08-16T20:08:59Z,220.9495,7.2591,275,37.8834
3->4,3,4,3.0.0,2021-08-16T20:08:59Z,4.0.0,2022-03-11T14:23:47Z,206.7603,6.7929,149,21.9345
4->5,4,5,4.0.0,2022-03-11T14:23:47Z,5.1.0,2022-08-18T18:54:10Z,160.1878,5.2628,42,7.9805
5->6,5,6,5.1.0,2022-08-18T18:54:10Z,6.0.1,2023-01-06T20:39:31Z,141.0732,4.6348,191,41.2096
6->7,6,7,6.0.1,2023-01-06T20:39:31Z,7.0.1,2023-06-01T20:35:17Z,145.9971,4.7966,294,61.2932
7->8,7,8,7.0.1,2023-06-01T20:35:17Z,8.0.0,2023-12-21T17:44:27Z,202.8814,6.6655,289,43.3575
8->9,8,9,8.0.0,2023-12-21T17:44:27Z,v9.0.0,2024-07-12T21:18:57Z,204.1490,6.7072,200,29.8189
9->10,9,10,v9.0.0,2024-07-12T21:18:57Z,10.0.0,2024-12-20T19:33:04Z,160.9265,5.2871,175,33.0994
10->11,10,11,10.0.0,2024-12-20T19:33:04Z,11.0.0,2025-06-06T14:43:43Z,167.7991,5.5129,167,30.2926
11->25,11,25,11.0.0,2025-06-06T14:43:43Z,v25.0.0,2026-01-09T18:10:25Z,217.1435,7.1341,233,32.6601
25->26,25,26,v25.0.0,2026-01-09T18:10:25Z,26.0.0,2026-05-12T19:55:56Z,123.0733,4.0435,258,63.8065
